,steps,mu_error,Sigma_error,OutOfBounds
0,5,0.21268266906113603,0.13097107813376044,1.0
1,10,0.18538725006927,0.08628947154716136,0.0
2,15,0.15088052410333055,0.05279878555675284,1.0
3,20,0.11064742314379131,0.03026512033562508,0.0
4,25,0.07513813025351297,0.016002749376319455,0.0
5,30,0.05411574483762138,0.00911505461358343,1.0
6,35,0.04404318746763879,0.005437699981784959,0.0
7,40,0.03299383222032496,0.004007264567744299,0.0
8,45,0.026829749137618996,0.004127189833989929,1.0
9,50,0.016555573472975236,0.005052861977619406,1.0
10,55,0.01040643844947228,0.004335718698427438,0.0
11,60,0.007055411171866341,0.00430312121702945,0.0
12,65,0.004813710854269516,0.0037084519389440377,1.0
13,70,0.004786718513821634,0.003812156839930962,2.0
14,75,0.0028641348002521696,0.0038806508963573363,0.0
15,80,0.0009526153964942028,0.0028090848492841685,0.0
16,85,0.0017552200731501208,0.0019103719438472709,0.0
17,90,0.0015497509208038278,0.0022572617649178218,2.0
18,95,0.0009117642740580082,0.0022666034593740053,1.0
19,100,0.0009526944162839432,0.0026553171011839977,1.0
20,105,0.0010050398687556287,0.0022480007323688817,2.0
21,110,0.0008890320571613841,0.0027003862578955247,0.0
22,115,0.0009202257781470824,0.0027793785653495388,0.0
23,120,0.0012388399980956361,0.0023730669421766957,0.0
24,125,0.0006072694253477641,0.002283337051688811,1.0
25,130,0.0008288607600829778,0.0024360430811667427,0.0
26,135,0.0006811068645472654,0.002368014227639812,1.0
27,140,0.0006346065447549765,0.0027411280279314517,1.0
28,145,0.0009004324899675844,0.002687739345526412,2.0
29,150,0.0008422855915370099,0.003047475536988859,2.0
30,155,0.0007380684054809551,0.002755517054396666,2.0
31,160,0.0008487279508796512,0.002705614257173238,2.0
32,165,0.0003279341175693998,0.002424023953309167,0.0
33,170,0.00029484326660992124,0.0015617841941650038,4.0
34,175,0.0006094130085695552,0.0015539623856446602,1.0
35,180,0.0004891219513170884,0.0017726793301737602,1.0
36,185,0.00053899048382267,0.00159031737456438,1.0
37,190,0.0005520168231515116,0.0012393807552780664,1.0
38,195,0.0005394260387180677,0.0011180292164107764,1.0
39,200,0.00045373439099503823,0.001123267722743895,0.0
40,205,0.0003064097448245704,0.0012643804973912311,0.0
41,210,0.0002994167330964713,0.0013310132675394576,2.0
42,215,0.00017880325007350913,0.0011688393246830535,2.0
43,220,0.00023380350760906208,0.0009879872712998837,0.0
44,225,0.0006104210937739628,0.0013469774308744302,0.0
45,230,0.0004666831957758805,0.0015831946196971584,0.0
46,235,0.00034308924770748683,0.0017801310684144867,0.0
47,240,0.00014903188206699908,0.0012757283324221112,1.0
48,245,0.00022354580876498406,0.0010306678751908075,2.0
49,250,0.0003056519191744747,0.0010375185854037238,0.0
